"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","TaxonName","AccYear","ItemLocationName","IUCNRedList","IUCNRedListCode","LifeForm","NationalRedListCode","NationalRedList","RegionalRedList","RegionalRedListCode","Locality","MaterialType","AltitudeFrom","AltitudeTo","CoordLatDD","CoordLongDD","CountryName","ItemAccNoRef","ContactNameFull","TaxonNameFull","ItemAccNoFull","Cultivar","AccNoCons","CollNo","DetType","ProvenanceCode","ItemNo","AtrA_Variant","Collector","ItemConsNo","ItemStatusDate","ItemStatusCode","ItemType","AccNoFull","CollName","AccNo","CollNo.1","CollCode","Genus","ItemLocationRef","ItemSpecCount","SpecCount","Genus.1","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"1","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.11","","","bjs.2016-0060","","W",11,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"2","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.12","","","bjs.2016-0060","","W",12,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"3","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.07","","","bjs.2016-0060","","W",7,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"4","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Southmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.09","","","bjs.2016-0060","","W",9,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"5","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Nursery","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Mt. Elphinstone FSR","seed",725,NA,49.48356,-123.56923,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0306.88","","","bjs.2016-0012","","W",88,"","Stormes, Ben",NA,"2020-07-28","PRO","Planting","2016-0306","UBC Botanical Garden",306,"bjs.2016-0012","UBC","Abies","","8","","Abies","amabilis","","","","","Abies amabilis"
"6","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.01","","","bjs.2016-0060","","W",1,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"7","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2002,"Between upper and middle path, in middle bed of narrowest part of BC Rainforest Garden","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","west coast of Vancouver Island","plant",NA,NA,NA,NA,"Canada","","Harry Hill, Sechelt, British Columbia","Abies amabilis Douglas ex J.Forbes","2002-0134.01","","36256/0-0676-2002","","","W",1,"","",NA,"2020-11-20","O","Planting","2002-0134","UBC Botanical Garden",134,"","UBC","Abies","","1","1","Abies","amabilis","","","","","Abies amabilis"
"8","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Southmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.08","","","bjs.2016-0060","","W",8,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"9","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",1974,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","seedling",457,914,55.1,-127.4,"Canada","","Dr. Jim Pojar, (ex-Botany, UBC) BC Min. Forestry, Smithers, BC, Canada","Abies amabilis Douglas ex J.Forbes","1974-0438.01","","09129/0-0270-1974","Pojar.086","","W",1,"","Pojar, Jim",NA,"1996-01-24","B","Planting","1974-0438","UBC Botanical Garden",438,"Pojar.086","UBC","Abies","","1","2","Abies","amabilis","","","","","Abies amabilis"
"10","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.10","","","bjs.2016-0060","","W",10,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
"11","Abies amabilis","Abies","Abies amabilis",NA,NA,"Fir",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.03","","","bjs.2016-0060","","W",3,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","","Abies","amabilis","","","","","Abies amabilis"
